category	percentage	group_label	percentage_label
mashr_Brain_Amygdala|predixcan_mashr_eqtl_eqtl	9.55487573042615e-09	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Brain_Anterior_cingulate_cortex_BA24|predixcan_mashr_eqtl_eqtl	0.00566396990516961	All_Tissue_predixcan_predixcan_mashr_eqtl	1%
mashr_Brain_Caudate_basal_ganglia|predixcan_mashr_eqtl_eqtl	0.0165382901393814	All_Tissue_predixcan_predixcan_mashr_eqtl	2%
mashr_Colon_Sigmoid|predixcan_mashr_eqtl_eqtl	0.00613391855000246	All_Tissue_predixcan_predixcan_mashr_eqtl	1%
mashr_Colon_Transverse|predixcan_mashr_eqtl_eqtl	0.026014713558014	All_Tissue_predixcan_predixcan_mashr_eqtl	3%
mashr_Small_Intestine_Terminal_Ileum|predixcan_mashr_eqtl_eqtl	2.49592311091004e-10	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Whole_Blood|predixcan_mashr_eqtl_eqtl	0.039801336253376	All_Tissue_predixcan_predixcan_mashr_eqtl	4%
mashr_Spleen|predixcan_mashr_eqtl_eqtl	0.031977325492717	All_Tissue_predixcan_predixcan_mashr_eqtl	3%
mashr_Cells_EBV-transformed_lymphocytes|predixcan_mashr_eqtl_eqtl	0.00358920064511125	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Cells_Cultured_fibroblasts|predixcan_mashr_eqtl_eqtl	9.88445392193226e-06	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Adipose_Subcutaneous|predixcan_mashr_eqtl_eqtl	0.0023776632120331	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Adipose_Visceral_Omentum|predixcan_mashr_eqtl_eqtl	0.020912898710772	All_Tissue_predixcan_predixcan_mashr_eqtl	2%
mashr_Liver|predixcan_mashr_eqtl_eqtl	0.116499579452729	All_Tissue_predixcan_predixcan_mashr_eqtl	12%
mashr_Pancreas|predixcan_mashr_eqtl_eqtl	0.0125939709267779	All_Tissue_predixcan_predixcan_mashr_eqtl	1%
mashr_Artery_Aorta|predixcan_mashr_eqtl_eqtl	0.0238037791060209	All_Tissue_predixcan_predixcan_mashr_eqtl	2%
mashr_Artery_Coronary|predixcan_mashr_eqtl_eqtl	0.0158388143973475	All_Tissue_predixcan_predixcan_mashr_eqtl	2%
mashr_Artery_Tibial|predixcan_mashr_eqtl_eqtl	0.01004603061862	All_Tissue_predixcan_predixcan_mashr_eqtl	1%
mashr_Heart_Atrial_Appendage|predixcan_mashr_eqtl_eqtl	0.00231716328210285	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Heart_Left_Ventricle|predixcan_mashr_eqtl_eqtl	1.29049337665155e-16	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Kidney_Cortex|predixcan_mashr_eqtl_eqtl	3.76833686658524e-08	All_Tissue_predixcan_predixcan_mashr_eqtl	0%
mashr_Muscle_Skeletal|predixcan_mashr_eqtl_eqtl	0.0220311125800138	All_Tissue_predixcan_predixcan_mashr_eqtl	2%
mashr_Nerve_Tibial|predixcan_mashr_eqtl_eqtl	0.0187239813689386	All_Tissue_predixcan_predixcan_mashr_eqtl	2%
mashr_Pituitary|predixcan_mashr_eqtl_eqtl	0.00943998557712293	All_Tissue_predixcan_predixcan_mashr_eqtl	1%
SNP	0.615686334281991	All_Tissue_predixcan_predixcan_mashr_eqtl	62%
